iso_code,country,2021_last_updated,2020_population,area,density_sq_km,growth_rate,world_%,rank
CHN,China,1447065329.00,1439323776.00,"9,706,961 sq_km",149/sq_km,0.34%,18.34%,1
IND,India,1401310563.00,1380004385.00,"3,287,590 sq_km",424/sq_km,0.97%,17.69%,2
USA,United States,334058426.00,331002651.00,"9,372,610 sq_km",36/sq_km,0.58%,4.23%,3
IDN,Indonesia,278037263.00,273523615.00,"1,904,569 sq_km",145/sq_km,1.04%,3.51%,4
PAK,Pakistan,227724796.00,220892340.00,"881,912 sq_km",255/sq_km,1.95%,2.86%,5
BRA,Brazil,214832901.00,212559417.00,"8,515,767 sq_km",25/sq_km,0.67%,2.72%,6
NGA,Nigeria,214507696.00,206139589.00,"923,768 sq_km",229/sq_km,2.55%,2.68%,7
BGD,Bangladesh,167247491.00,164689383.00,"147,570 sq_km","1,127/sq_km",0.98%,2.11%,8
RUS,Russia,145899956.00,145934462.00,"17,098,242 sq_km",9/sq_km,-0.02%,1.85%,9
MEX,Mexico,131046075.00,128932753.00,"1,964,375 sq_km",66/sq_km,1.03%,1.65%,10
JPN,Japan,125802521.00,126476461.00,"377,930 sq_km",334/sq_km,-0.34%,1.60%,11
ETH,Ethiopia,119590501.00,114963588.00,"1,104,300 sq_km",107/sq_km,2.53%,1.50%,12
PHL,Philippines,111913102.00,109581078.00,"342,353 sq_km",324/sq_km,1.34%,1.41%,13
EGY,Egypt,105390688.00,102334404.00,"1,002,450 sq_km",104/sq_km,1.88%,1.32%,14
VNM,Vietnam,98655916.00,97338579.00,"331,212 sq_km",296/sq_km,0.85%,1.25%,15
TUR,Turkey,85484777.00,84339067.00,"783,562 sq_km",109/sq_km,0.83%,1.08%,17
IRN,Iran,85627052.00,83992949.00,"1,648,195 sq_km",52/sq_km,1.23%,1.08%,18
DEU,Germany,83975691.00,83783942.00,"357,114 sq_km",235/sq_km,0.14%,1.07%,19
THA,Thailand,70039646.00,69799978.00,"513,120 sq_km",136/sq_km,0.22%,0.89%,20
GBR,United Kingdom,68401087.00,67886011.00,"242,900 sq_km",281/sq_km,0.47%,0.87%,21
FRA,France,65520147.00,65273511.00,"551,695 sq_km",119/sq_km,0.23%,0.83%,22
TZA,Tanzania,62539416.00,59734218.00,"945,087 sq_km",65/sq_km,2.95%,0.78%,23
ITA,Italy,60320493.00,60461826.00,"301,336 sq_km",200/sq_km,-0.16%,0.77%,24
ZAF,South Africa,60474550.00,59308690.00,"1,221,037 sq_km",49/sq_km,1.24%,0.76%,25
KEN,Kenya,55703607.00,53771296.00,"580,367 sq_km",95/sq_km,2.26%,0.70%,26
MMR,Myanmar,55037700.00,54409800.00,"676,578 sq_km",81/sq_km,0.73%,0.70%,27
KOR,South Korea,51331264.00,51269185.00,"100,210 sq_km",512/sq_km,0.07%,0.65%,28
COL,Colombia,51504213.00,50882891.00,"1,141,748 sq_km",45/sq_km,0.75%,0.65%,29
UGA,Uganda,47942521.00,45741007.00,"241,550 sq_km",195/sq_km,3.02%,0.60%,30
ESP,Spain,46736811.00,46754778.00,"505,992 sq_km",92/sq_km,-0.02%,0.59%,31
ARG,Argentina,45847428.00,45195774.00,"2,780,400 sq_km",16/sq_km,0.91%,0.58%,32
SDN,Sudan,45532863.00,43849260.00,"1,886,068 sq_km",24/sq_km,2.42%,0.57%,33
DZA,Algeria,45061896.00,43851044.00,"2,381,741 sq_km",19/sq_km,1.75%,0.57%,34
UKR,Ukraine,43312073.00,43733762.00,"603,500 sq_km",72/sq_km,-0.61%,0.55%,35
IRQ,Iraq,41750703.00,40222493.00,"438,317 sq_km",94/sq_km,2.38%,0.52%,36
AFG,Afghanistan,40374668.00,38928346.00,"652,230 sq_km",61/sq_km,2.33%,0.51%,37
CAN,Canada,38261228.00,37742154.00,"9,984,670 sq_km",4/sq_km,0.86%,0.48%,38
POL,Poland,37764461.00,37846611.00,"312,679 sq_km",121/sq_km,-0.13%,0.48%,39
MAR,Morocco,37599544.00,36910560.00,"446,550 sq_km",84/sq_km,1.18%,0.47%,40
SAU,Saudi Arabia,35659227.00,34813871.00,"2,149,690 sq_km",16/sq_km,1.51%,0.45%,41
UZB,Uzbekistan,34207969.00,33469203.00,"447,400 sq_km",76/sq_km,1.39%,0.43%,42
AGO,Angola,34566172.00,32866272.00,"1,246,700 sq_km",27/sq_km,3.25%,0.43%,43
PER,Peru,33587011.00,32971854.00,"1,285,216 sq_km",26/sq_km,1.18%,0.42%,44
MYS,Malaysia,33015425.00,32365999.00,"330,803 sq_km",99/sq_km,1.27%,0.42%,45
MOZ,Mozambique,32696683.00,31255435.00,"801,590 sq_km",40/sq_km,2.90%,0.41%,46
GHA,Ghana,32120718.00,31072940.00,"238,533 sq_km",133/sq_km,2.12%,0.40%,47
