iso_code,country,2022_last_updated,2020_population,area_sq_km,density_sq_km,growth_rate,world_%,rank
CHN,China,"1,425,860,478","1,424,929,781","9,706,961",147/sq_km,0.00%,17.88%,1
IND,India,"1,420,588,493","1,396,387,127","3,287,590",431/sq_km,0.68%,17.77%,2
USA,United States,"338,846,055","335,942,003","9,372,610",36/sq_km,0.38%,4.24%,3
IDN,Indonesia,"276,124,105","271,857,970","1,904,569",145/sq_km,0.64%,3.45%,4
PAK,Pakistan,"237,444,363","227,196,741","881,912",267/sq_km,1.91%,2.96%,5
NGA,Nigeria,"220,379,825","208,327,405","923,768",237/sq_km,2.41%,2.74%,6
BRA,Brazil,"215,657,523","213,196,304","8,515,767",25/sq_km,0.46%,2.70%,7
BGD,Bangladesh,"171,811,837","167,420,951","147,570","1,160/sq_km",1.08%,2.15%,8
RUS,Russia,"144,699,820","145,617,329","17,098,242",8/sq_km,-0.27%,1.81%,9
MEX,Mexico,"127,841,853","125,998,302","1,964,375",65/sq_km,0.63%,1.60%,10
JPN,Japan,"123,721,914","125,244,761","377,930",328/sq_km,-0.53%,1.55%,11
ETH,Ethiopia,"124,475,741","117,190,911","1,104,300",112/sq_km,2.57%,1.55%,12
PHL,Philippines,"116,187,173","112,190,977","342,353",338/sq_km,1.47%,1.45%,13
EGY,Egypt,"111,593,464","107,465,134","1,002,450",111/sq_km,1.58%,1.39%,14
VNM,Vietnam,"98,429,357","96,648,685","331,212",296/sq_km,0.74%,1.23%,16
IRN,Iran,"88,757,345","87,290,193","1,648,195",54/sq_km,0.71%,1.11%,17
TUR,Turkey,"85,516,788","84,135,428","783,562",109/sq_km,0.67%,1.07%,18
DEU,Germany,"83,329,747","83,328,988","357,114",233/sq_km,-0.05%,1.05%,19
THA,Thailand,"71,736,997","71,475,664","513,120",140/sq_km,0.13%,0.90%,20
GBR,United Kingdom,"67,589,641","67,059,474","242,900",278/sq_km,0.34%,0.85%,21
TZA,Tanzania,"66,171,919","61,704,518","945,087",69/sq_km,3.00%,0.82%,22
FRA,France,"64,673,021","64,480,053","551,695",117/sq_km,0.15%,0.81%,23
ZAF,South Africa,"60,067,761","58,801,927","1,221,037",49/sq_km,0.84%,0.75%,24
ITA,Italy,"58,979,772","59,500,579","301,336",196/sq_km,-0.34%,0.74%,25
MMR,Myanmar,"54,321,183","53,423,198","676,578",80/sq_km,0.71%,0.68%,26
KEN,Kenya,"54,398,757","51,985,780","580,367",93/sq_km,1.93%,0.68%,27
COL,Colombia,"51,933,910","50,930,662","1,141,748",45/sq_km,0.69%,0.65%,28
KOR,South Korea,"51,806,429","51,844,690","100,210",517/sq_km,-0.03%,0.65%,29
ESP,Spain,"47,546,421","47,363,807","505,992",94/sq_km,0.15%,0.60%,30
UGA,Uganda,"47,717,881","44,404,611","241,550",196/sq_km,3.04%,0.59%,31
SDN,Sudan,"47,305,360","44,440,486","1,886,068",25/sq_km,2.67%,0.59%,32
ARG,Argentina,"45,595,136","45,036,032","2,780,400",16/sq_km,0.52%,0.57%,33
DZA,Algeria,"45,156,393","43,451,666","2,381,741",19/sq_km,1.64%,0.56%,34
IRQ,Iraq,"44,847,986","42,556,984","438,317",102/sq_km,2.21%,0.56%,35
AFG,Afghanistan,"41,514,691","38,972,230","652,230",63/sq_km,2.57%,0.52%,36
POL,Poland,"40,997,556","38,428,366","312,679",127/sq_km,4.04%,0.50%,37
UKR,Ukraine,"37,145,646","43,909,666","603,500",66/sq_km,-8.80%,0.50%,38
CAN,Canada,"38,569,473","37,888,705","9,984,670",4/sq_km,0.78%,0.48%,39
MAR,Morocco,"37,594,065","36,688,772","446,550",84/sq_km,1.03%,0.47%,40
SAU,Saudi Arabia,"36,600,431","35,997,107","2,149,690",17/sq_km,1.28%,0.46%,41
AGO,Angola,"35,968,610","33,428,486","1,246,700",29/sq_km,3.15%,0.45%,42
UZB,Uzbekistan,"34,820,933","33,526,656","447,400",77/sq_km,1.60%,0.43%,43
PER,Peru,"34,146,614","33,304,756","1,285,216",26/sq_km,0.99%,0.43%,44
MYS,Malaysia,"34,069,688","33,199,993","330,803",103/sq_km,1.09%,0.43%,45
YEM,Yemen,"33,960,062","32,284,046","527,968",64/sq_km,2.17%,0.42%,46
GHA,Ghana,"33,702,050","32,180,401","238,533",140/sq_km,1.96%,0.42%,47
MOZ,Mozambique,"33,286,941","31,178,239","801,590",41/sq_km,2.78%,0.41%,48
NPL,Nepal,"30,671,080","29,348,627","147,181",208/sq_km,1.71%,0.38%,49
MDG,Madagascar,"29,859,227","28,225,177","587,041",50/sq_km,2.41%,0.37%,50
VEN,Venezuela,"28,480,455","28,490,453","916,445",31/sq_km,0.36%,0.35%,51
CIV,Ivory Coast,"28,406,770","26,811,790","322,463",87/sq_km,2.48%,0.35%,52
CMR,Cameroon,"28,169,503","26,491,087","475,442",59/sq_km,2.63%,0.35%,53
NER,Niger,"26,551,488","24,333,639","1,267,000",21/sq_km,3.78%,0.33%,54
AUS,Australia,"26,269,684","25,670,051","7,692,024",3/sq_km,0.99%,0.33%,55
PRK,North Korea,"26,102,700","25,867,467","120,538",216/sq_km,0.38%,0.33%,56
TWN,Taiwan,"23,904,446","23,821,464","36,193",660/sq_km,0.14%,0.30%,57
BFA,Burkina Faso,"22,874,882","21,522,626","272,967",83/sq_km,2.59%,0.28%,58
MLI,Mali,"22,836,348","21,224,040","1,240,192",18/sq_km,3.14%,0.28%,59
SYR,Syria,"22,502,045","20,772,595","185,180",119/sq_km,3.76%,0.28%,60
LKA,Sri Lanka,"21,854,890","21,715,079","65,610",333/sq_km,0.27%,0.27%,61
MWI,Malawi,"20,587,803","19,377,061","118,484",172/sq_km,2.59%,0.26%,62
ZMB,Zambia,"20,209,029","18,927,715","752,612",27/sq_km,2.80%,0.25%,63
ROU,Romania,"19,938,265","19,442,038","238,391",82/sq_km,1.71%,0.25%,64
CHL,Chile,"19,611,701","19,300,315","756,102",26/sq_km,0.57%,0.25%,65
KAZ,Kazakhstan,"19,470,093","18,979,243","2,724,900",7/sq_km,1.05%,0.24%,66
ECU,Ecuador,"18,068,340","17,588,595","276,841",65/sq_km,1.14%,0.23%,67
GTM,Guatemala,"17,929,111","17,362,718","108,889",164/sq_km,1.34%,0.22%,68
TCD,Chad,"17,916,211","16,644,701","1,284,000",14/sq_km,3.16%,0.22%,69
SOM,Somalia,"17,785,780","16,537,016","637,657",28/sq_km,3.12%,0.22%,70
NLD,Netherlands,"17,583,419","17,434,557","41,850",420/sq_km,0.36%,0.22%,71
SEN,Senegal,"17,471,048","16,436,120","196,722",88/sq_km,2.61%,0.22%,72
KHM,Cambodia,"16,829,270","16,396,860","181,035",93/sq_km,1.08%,0.21%,73
ZWE,Zimbabwe,"16,438,511","15,669,666","390,757",42/sq_km,2.04%,0.20%,74
GIN,Guinea,"13,974,873","13,205,153","245,857",56/sq_km,2.42%,0.17%,75
RWA,Rwanda,"13,887,989","13,146,362","26,338",523/sq_km,2.34%,0.17%,76
BEN,Benin,"13,478,420","12,643,123","112,622",119/sq_km,2.74%,0.17%,77
BDI,Burundi,"13,011,790","12,220,227","27,834",463/sq_km,2.70%,0.16%,78
TUN,Tunisia,"12,389,530","12,161,723","163,610",76/sq_km,0.76%,0.15%,79
BOL,Bolivia,"12,277,057","11,936,162","1,098,581",11/sq_km,1.20%,0.15%,80
BEL,Belgium,"11,666,596","11,561,717","30,528",382/sq_km,0.38%,0.15%,81
HTI,Haiti,"11,633,573","11,306,801","27,750",417/sq_km,1.20%,0.15%,82
JOR,Jordan,"11,306,688","10,928,721","89,342",126/sq_km,1.23%,0.14%,83
DOM,Dominican Republic,"11,266,089","10,999,664","48,671",231/sq_km,1.00%,0.14%,84
CUB,Cuba,"11,206,408","11,300,698","109,884",102/sq_km,-0.39%,0.14%,85
SSD,South Sudan,"10,971,894","10,606,227","619,745",18/sq_km,1.53%,0.14%,86
SWE,Sweden,"10,571,708","10,368,969","450,295",23/sq_km,0.79%,0.13%,87
CZE,Czech Republic,"10,491,416","10,530,953","78,865",133/sq_km,-0.16%,0.13%,88
HND,Honduras,"10,487,734","10,121,763","112,492",93/sq_km,1.50%,0.13%,89
GRC,Greece,"10,367,622","10,512,232","131,990",79/sq_km,-0.58%,0.13%,90
AZE,Azerbaijan,"10,378,122","10,284,951","86,600",120/sq_km,0.44%,0.13%,91
PRT,Portugal,"10,262,769","10,298,192","92,090",112/sq_km,-0.19%,0.13%,92
PNG,Papua New Guinea,"10,208,931","9,749,640","462,840",22/sq_km,1.94%,0.13%,93
HUN,Hungary,"10,163,545","9,750,573","93,028",107/sq_km,2.65%,0.12%,94
TJK,Tajikistan,"10,020,513","9,543,207","143,100",70/sq_km,2.08%,0.12%,95
BLR,Belarus,"9,524,416","9,633,740","207,600",46/sq_km,-0.45%,0.12%,96
ARE,United Arab Emirates,"9,467,859","9,287,289","83,600",113/sq_km,0.81%,0.12%,97
ISR,Israel,"9,085,730","8,757,489","20,770",435/sq_km,1.55%,0.11%,98
AUT,Austria,"8,946,557","8,907,777","83,871",107/sq_km,0.20%,0.11%,99
TGO,Togo,"8,920,537","8,442,580","56,785",156/sq_km,2.36%,0.11%,100
CHE,Switzerland,"8,760,648","8,638,613","41,284",212/sq_km,0.56%,0.11%,101
SLE,Sierra Leone,"8,670,616","8,233,970","71,740",120/sq_km,2.20%,0.11%,102
LAO,Laos,"7,566,486","7,319,399","236,800",32/sq_km,1.41%,0.09%,103
HKG,Hong Kong,"7,488,736","7,500,958","1,104","6,783/sq_km",-0.08%,0.09%,104
SRB,Serbia,"7,193,092","7,358,005","88,361",82/sq_km,-1.03%,0.09%,105
NIC,Nicaragua,"6,983,090","6,755,895","130,373",53/sq_km,1.43%,0.09%,106
LBY,Libya,"6,838,943","6,653,942","1,759,540",4/sq_km,1.14%,0.09%,107
BGR,Bulgaria,"6,745,584","6,979,175","110,879",61/sq_km,-1.51%,0.09%,108
PRY,Paraguay,"6,807,217","6,618,695","406,752",17/sq_km,1.15%,0.09%,109
