,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,3/25/2018,1.71,2321.82,42.95,272.41,0,2006.46,1996.46,10,0,organic,2018,Albany
1,3/18/2018,1.66,3154.45,275.89,297.96,0,2580.6,2577.27,3.33,0,organic,2018,Albany
2,3/11/2018,1.68,2570.52,131.67,229.56,0,2209.29,2209.29,0,0,organic,2018,Albany
3,3/4/2018,1.48,3851.3,311.55,296.77,0,3242.98,3239.65,3.33,0,organic,2018,Albany
4,2/25/2018,1.56,5356.63,816.56,532.59,0,4007.48,4007.48,0,0,organic,2018,Albany
5,2/18/2018,1.43,7566.17,4314.3,251.85,0,3000.02,3000.02,0,0,organic,2018,Albany
6,2/11/2018,1.43,3817.93,59.18,289.85,0,3468.9,3468.9,0,0,organic,2018,Albany
7,2/4/2018,1.52,4124.96,118.38,420.36,0,3586.22,3586.22,0,0,organic,2018,Albany
8,1/28/2018,1.32,6987.56,433.66,374.96,0,6178.94,6178.94,0,0,organic,2018,Albany
9,1/21/2018,1.54,3346.54,14.67,253.01,0,3078.86,3078.86,0,0,organic,2018,Albany
10,1/14/2018,1.47,4140.95,7.3,301.87,0,3831.78,3831.78,0,0,organic,2018,Albany
11,1/7/2018,1.54,4816.9,43.51,412.17,0,4361.22,4357.89,3.33,0,organic,2018,Albany
0,3/25/2018,1.56,18717.08,469.23,3942.82,0,14305.03,9398.45,4906.58,0,organic,2018,Atlanta
1,3/18/2018,1.48,19014.68,626.28,5411.88,0,12976.52,9134.72,3841.8,0,organic,2018,Atlanta
2,3/11/2018,1.43,23042.99,590.29,5224.55,0,17228.15,16438.54,789.61,0,organic,2018,Atlanta
3,3/4/2018,1.66,17082,597.4,5315.48,0,11169.12,9691.97,1477.15,0,organic,2018,Atlanta
4,2/25/2018,1.55,15348.44,530.19,5122.82,0,9695.43,9065.3,630.13,0,organic,2018,Atlanta
