Season,AQ1,AQ2,AQ3,AQ4,HQ1,HQ2,HQ3,HQ4
2002,4.037453184,6.02247191,4.449438202,5.928838951,4.307116105,7.411985019,4.715355805,6.426966292
2003,3.558052434,6.093632959,3.913857678,5.355805243,5.026217228,6.625468165,4.561797753,6.29588015
2004,3.913857678,6.265917603,4.153558052,5.797752809,4.943820225,7.071161049,4.25093633,6.561797753
2005,3.887640449,5.543071161,4.029962547,5.191011236,4.393258427,7.426966292,4.677902622,5.737827715
2006,3.629213483,6.179775281,4.303370787,6.063670412,4.606741573,6.041198502,4.565543071,5.93258427
2007,3.696629213,6.220973783,4.337078652,5.872659176,5.026217228,7.074906367,4.913857678,6.018726592
2008,3.801498127,6.498127341,4.074906367,6.423220974,5.179775281,7.205992509,4.595505618,6.04494382
2009,3.868913858,6.202247191,4.299625468,5.943820225,4.737827715,7.790262172,4.228464419,5.887640449
2010,3.973782772,6.865168539,4.629213483,5.70411985,4.576779026,6.771535581,4.868913858,6.68164794
2011,3.857677903,5.981273408,4.584269663,5.996254682,5.02247191,7.333333333,5.033707865,6.479400749
2012,4.468164794,6.27340824,4.509363296,6.235955056,4.928838951,7.003745318,5.217228464,6.823970037
2013,4.04494382,6.670411985,5.011235955,6.183520599,5.112359551,7.445692884,5.258426966,6.93258427
2014,4.284644195,6.322097378,4.734082397,5.876404494,4.913857678,7.164794007,5.397003745,6.374531835
